formula,Predicted_BG,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,Stability_Tag,is_semiconductor
SrHfO3,1.5119481158609338,0.864613978891608,0.6746031746031745,296.096855422896,1.7615493743864583,2.14,Metastable,1
Alloy_Ti_Step_442_40,1.5665151318190642,0.9186854587592715,0.6798941798941799,75.8668834814815,5.670888113178581,2.026,Stable_Cubic,1
Alloy_Zr_Step_443_40,1.5665151318190642,0.9198458284280872,0.6777777777777778,75.58087839999999,7.233115407515528,2.128,Stable_Cubic,1
Alloy_Sn_Step_441_20,1.5679814215623706,0.922766565487284,0.6724867724867725,74.87066456296296,5.494852813035903,1.816,Stable_Cubic,1
Alloy_Zr_Step_443_20,1.570471772791415,0.9207152479256564,0.6761904761904762,75.36616319999999,7.635972553941357,2.134,Stable_Cubic,1
BaHfO3,1.570471772791415,0.9215846674232254,0.6746031746031745,75.15144799999999,8.038829700367186,2.14,Stable_Cubic,1
BaTiO3,1.5704854342114267,0.9208572919951092,0.6759259259259259,75.32967270370371,5.140404330589391,1.9,Stable_Cubic,1
Alloy_Ti_Step_442_80,1.5791703824169059,0.9201333475831632,0.6772486772486772,75.50874296296297,5.3172322581191205,1.942,Stable_Cubic,1
Alloy_Ti_Step_442_60,1.5833096649845648,0.9194094031712174,0.6785714285714286,75.68781322222223,5.49406018564885,1.984,Stable_Cubic,1
Alloy_Zr_Step_443_60,1.6138151027765038,0.918976408930518,0.6793650793650794,75.7955936,6.830258261089699,2.122,Stable_Cubic,1
Alloy_Ti_Step_442_20,1.6138151027765038,0.9179615143473258,0.6812169312169313,76.04595374074076,5.847716040708311,2.068,Stable_Cubic,1
BaZrO3,1.6138151027765038,0.91723756993538,0.6825396825396826,76.22502400000002,6.02454396823804,2.11,Stable_Cubic,1
Alloy_Zr_Step_443_80,1.6138151027765038,0.918106989432949,0.680952380952381,76.0103088,6.427401114663869,2.116,Stable_Cubic,1
MACaI3,1.6152592966752415,1.0059668295885966,0.8952879581151831,112.44545896296292,6.687194631924389,1.66,Stable_Cubic,0
Alloy_Sn_Step_441_40,1.6203877758131329,0.9246758389794588,0.6690476190476191,74.41165642222222,5.849301295482416,1.7319999999999998,Stable_Cubic,1
CsCaF3,1.623465547828182,0.9638881055198738,1.6170212765957446,50.24340899999998,7.600773398302056,2.98,Stable_Cubic,0
Alloy_Hf_Step_444_80,1.6480530122087025,0.9192133384544172,0.6789682539682539,75.746817775,7.452375486800778,2.09,Stable_Cubic,1
KGeBr3,1.6492250977595801,1.0280327030563874,0.8725212464589235,97.51222675982817,5.984862622401141,0.9500000000000002,Unstable_Hexagonal,1
Alloy_Ge_Step_440_80,1.6588167768772741,0.952403351896322,0.6206349206349207,68.14565920000001,6.503147019461523,1.44,Stable_Cubic,1
Alloy_Zr_Step_433_20,1.661655476476556,0.8637983053266158,0.6761904761904762,296.9428337403264,1.660086652177455,2.134,Metastable,1
RbVI3,1.6697032473914208,1.0113839373330549,0.6106020942408377,69.00508417129629,12.444053292244089,1.0300000000000002,Stable_Cubic,1
Alloy_Hf_Step_444_60,1.6777285093935985,0.9168420094856088,0.6833333333333333,76.34218755,6.86592127323437,2.04,Stable_Cubic,1
