composition,electronegativity_mean,atomic_weight_mean,atomic_radius_mean,valence_electrons_mean,melting_temp_mean,tolerance_factor
CsPbCl3,2.5200000000000005,89.29289037999999,139.2,10.0,283.4,0.9091372900969896
CsPbBr3,2.4,115.96349037999998,150.0,16.0,339.92,0.8988645523557807
CsPbI3,2.22,144.16377238,161.4,16.0,412.55,0.8838834764831842
CsSnCl3,2.446,71.59489038,137.8,7.2,264.294,1.039014045825131
CsSnBr3,2.3259999999999996,98.26549037999999,148.6,13.2,320.814,1.0198655497882898
CsSnI3,2.146,126.46577238,160.0,13.2,393.4440000000001,0.9924305700863825
CsGeCl3,2.4560000000000004,62.380890380000004,134.0,7.2,405.558,1.131370849898476
CsGeBr3,2.336,89.05149037999999,144.8,13.2,462.0780000000001,1.1048543456039805
CsGeI3,2.156,117.25177238,156.2,13.2,534.708,1.0673309904702604
CsBiCl3,2.458,89.64897038000001,139.6,10.2,272.158,0.9790709277967581
CsBiBr3,2.338,116.31957038,150.4,16.2,328.678,0.9642365197998375
CsBiI3,2.1580000000000004,144.51985238000003,161.8,16.2,401.30800000000005,0.9428090415820632
RbPbCl3,2.5260000000000002,79.80536,134.4,10.0,285.57399999999996,0.8460027560624764
RbPbBr3,2.4059999999999997,106.47595999999999,145.2,16.0,342.094,0.8389402488653952
RbPbI3,2.226,134.676242,156.6,16.0,414.724,0.8286407592029852
RbSnCl3,2.452,62.10735999999999,133.0,7.2,266.46799999999996,0.9668602926428302
RbSnBr3,2.332,88.77796,143.8,13.2,322.988,0.9518745131357371
RbSnI3,2.152,116.978242,155.2,13.2,395.61800000000005,0.9304036594559836
RbGeCl3,2.462,52.89336000000001,129.2,7.2,407.732,1.0528034297666373
RbGeBr3,2.3419999999999996,79.56396,140.0,13.2,464.25200000000007,1.0311973892303818
RbGeI3,2.162,107.76424200000001,151.4,13.2,536.8820000000001,1.000622803565869
RbBiCl3,2.464,80.16144,134.8,10.2,274.332,0.9110798911442054
RbBiBr3,2.344,106.83204,145.6,16.2,330.852,0.899954085146515
RbBiI3,2.164,135.032322,157.0,16.2,403.482,0.8838834764831843
KPbCl3,2.5260000000000002,70.53146,131.0,10.0,290.38800000000003,0.8081220356417687
KPbBr3,2.4059999999999997,97.20205999999999,141.8,16.0,346.908,0.802985666771164
KPbI3,2.226,125.402342,153.2,16.0,419.538,0.7954951288348658
KSnCl3,2.452,52.83346,129.6,7.2,271.282,0.9235680407334498
KSnBr3,2.332,79.50406000000001,140.4,13.2,327.802,0.9110798911442055
KSnI3,2.152,107.704342,151.8,13.2,400.432,0.8931875130777442
KGeCl3,2.462,43.619460000000004,125.8,7.2,412.546,1.005662977687534
KGeBr3,2.3419999999999996,70.29006,136.6,13.2,469.066,0.9870032154062226
KGeI3,2.162,98.49034200000001,148.0,13.2,541.6960000000001,0.9605978914232344
KBiCl3,2.464,70.88754,131.4,10.2,279.146,0.8702852691526739
KBiBr3,2.344,97.55814000000001,142.2,16.2,335.666,0.8613846243545215
KBiI3,2.164,125.758422,153.6,16.2,408.296,0.8485281374238569
NaPbCl3,2.548,67.309753856,123.6,10.0,297.256,0.7071067811865475
NaPbBr3,2.428,93.980353856,134.4,16.0,353.776,0.7071067811865475
NaPbI3,2.248,122.18063585600001,145.8,16.0,426.40600000000006,0.7071067811865475
NaSnCl3,2.474,49.611753856,122.2,7.2,278.15,0.8081220356417684
NaSnBr3,2.354,76.282353856,133.0,13.2,334.67,0.8022942325001213
NaSnI3,2.1740000000000004,104.482635856,144.4,13.2,407.30000000000007,0.793944456069106
NaGeCl3,2.484,40.397753856,118.4,7.2,419.41399999999993,0.8799551054765923
NaGeBr3,2.364,67.068353856,129.2,13.2,475.934,0.8691520852084648
NaGeI3,2.184,95.268635856,140.6,13.2,548.5640000000001,0.8538647923762084
NaBiCl3,2.4859999999999998,67.66583385599999,124.0,10.2,286.014,0.7614996105085895
NaBiBr3,2.3659999999999997,94.336433856,134.8,16.2,342.534,0.7585327289092055
NaBiI3,2.186,122.536715856,146.2,16.2,415.16400000000004,0.7542472332656507
