material_id,formula,bandgap,elements,num_elements,is_perovskite
mp-1183115,AcAlO3,4.1024,"[Element Ac, Element Al, Element O]",3,True
mp-1183052,AcBO3,0.8071,"[Element Ac, Element B, Element O]",3,True
mp-866101,AcCrO3,2.0031,"[Element Ac, Element Cr, Element O]",3,True
mp-861502,AcFeO3,0.9887999999999991,"[Element Ac, Element Fe, Element O]",3,True
mp-1183053,AcGaO3,2.895900000000001,"[Element Ac, Element Ga, Element O]",3,True
mp-1183152,AcScO3,3.3847,"[Element Ac, Element O, Element Sc]",3,True
mp-1105645,Ag3SBr,0.2964,"[Element Ag, Element Br, Element S]",3,True
mp-1229116,Ag3SBr,0.39870000000000005,"[Element Ag, Element Br, Element S]",3,True
mp-36600,Ag3SBr,0.39769999999999905,"[Element Ag, Element Br, Element S]",3,True
mp-1173025,Ag3SI,0.33980000000000005,"[Element Ag, Element I, Element S]",3,True
mp-22995,Ag3SI,0.5478000000000001,"[Element Ag, Element I, Element S]",3,True
mp-558189,Ag3SI,0.6242999999999991,"[Element Ag, Element I, Element S]",3,True
mp-632480,Ag3SI,0.167599999999999,"[Element Ag, Element I, Element S]",3,True
mp-673825,Ag3SI,0.256999999999999,"[Element Ag, Element I, Element S]",3,True
mp-674981,Ag3SI,0.262399999999999,"[Element Ag, Element I, Element S]",3,True
mp-675879,Ag3SI,0.32160000000000005,"[Element Ag, Element I, Element S]",3,True
mp-676121,Ag3SI,0.373899999999999,"[Element Ag, Element I, Element S]",3,True
mp-676561,Ag3SI,0.333,"[Element Ag, Element I, Element S]",3,True
mp-1178563,AgAsO3,0.2921,"[Element Ag, Element As, Element O]",3,True
mp-558950,AgAsO3,0.5930000000000001,"[Element Ag, Element As, Element O]",3,True
mp-775767,AgAsO3,0.7378,"[Element Ag, Element As, Element O]",3,True
mp-776165,AgAuO3,0.24230000000000002,"[Element Ag, Element Au, Element O]",3,True
mp-1178562,AgBrO3,2.383,"[Element Ag, Element Br, Element O]",3,True
mp-1178561,AgClO3,2.7117,"[Element Ag, Element Cl, Element O]",3,True
mp-27941,AgClO3,2.3983,"[Element Ag, Element Cl, Element O]",3,True
mp-775761,AgClO3,3.1001,"[Element Ag, Element Cl, Element O]",3,True
mp-776199,AgClO3,3.113099999999999,"[Element Ag, Element Cl, Element O]",3,True
mp-1202188,AgIO3,1.806899999999999,"[Element Ag, Element I, Element O]",3,True
mp-27384,AgIO3,2.4375,"[Element Ag, Element I, Element O]",3,True
mp-849271,AgIO3,1.9765000000000001,"[Element Ag, Element I, Element O]",3,True
mp-552185,AgNO3,1.853899999999999,"[Element Ag, Element N, Element O]",3,True
mp-638686,AgNO3,2.008899999999999,"[Element Ag, Element N, Element O]",3,True
mp-669466,AgNO3,2.0027,"[Element Ag, Element N, Element O]",3,True
mp-8196,AgNO3,1.7204000000000002,"[Element Ag, Element N, Element O]",3,True
mp-18702,AgPO3,2.0232,"[Element Ag, Element O, Element P]",3,True
mp-775762,AgPO3,2.287,"[Element Ag, Element O, Element P]",3,True
mp-5470,AgPS3,1.3228,"[Element Ag, Element P, Element S]",3,True
mp-545999,AgSbO3,0.133299999999999,"[Element Ag, Element O, Element Sb]",3,True
mp-860791,AgSbO3,0.28749999999999903,"[Element Ag, Element O, Element Sb]",3,True
mp-569052,AgSe3I,1.396399999999999,"[Element Ag, Element I, Element Se]",3,True
mp-570431,AgTe3I,1.0025,"[Element Ag, Element I, Element Te]",3,True
mp-558637,AgTeO3,1.6662,"[Element Ag, Element O, Element Te]",3,True
mp-559257,AgTeO3,1.5732,"[Element Ag, Element O, Element Te]",3,True
mp-561489,AgTeO3,1.1676,"[Element Ag, Element O, Element Te]",3,True
mp-1228446,Al3BC,0.453,"[Element Al, Element B, Element C]",3,True
mp-8110,AlBO3,5.8392,"[Element Al, Element B, Element O]",3,True
mp-1344602,AlBiO3,0.9480000000000001,"[Element Al, Element Bi, Element O]",3,True
mp-1376082,AlBiO3,0.7618,"[Element Al, Element Bi, Element O]",3,True
mp-1392353,AlBiO3,0.641099999999999,"[Element Al, Element Bi, Element O]",3,True
mp-23080,AlBiO3,1.585999999999999,"[Element Al, Element Bi, Element O]",3,True
mp-551918,AlBiO3,2.977899999999999,"[Element Al, Element Bi, Element O]",3,True
mp-775763,AlBiO3,3.0001,"[Element Al, Element Bi, Element O]",3,True
mp-1202918,AlBr3N,0.344199999999999,"[Element Al, Element Br, Element N]",3,True
mp-1178576,AlCoO3,2.5603,"[Element Al, Element Co, Element O]",3,True
mp-754022,AlCoO3,0.8939,"[Element Al, Element Co, Element O]",3,True
mp-756947,AlCoO3,0.827199999999999,"[Element Al, Element Co, Element O]",3,True
mp-776216,AlCoO3,0.3481,"[Element Al, Element Co, Element O]",3,True
mp-1251690,AlCrO3,1.1578,"[Element Al, Element Cr, Element O]",3,True
mp-1345463,AlCrO3,1.802899999999999,"[Element Al, Element Cr, Element O]",3,True
mp-1178579,AlCuO3,0.13490000000000002,"[Element Al, Element Cu, Element O]",3,True
mp-776172,AlCuO3,0.35000000000000003,"[Element Al, Element Cu, Element O]",3,True
mp-1178577,AlFeO3,2.1792,"[Element Al, Element Fe, Element O]",3,True
mp-1254277,AlFeO3,1.3295,"[Element Al, Element Fe, Element O]",3,True
mp-1259818,AlFeO3,1.360799999999999,"[Element Al, Element Fe, Element O]",3,True
mp-1264966,AlFeO3,0.6687000000000001,"[Element Al, Element Fe, Element O]",3,True
mp-21216,AlFeO3,1.9962,"[Element Al, Element Fe, Element O]",3,True
mp-776154,AlFeO3,2.1089,"[Element Al, Element Fe, Element O]",3,True
mp-756686,AlGaO3,3.0761,"[Element Al, Element Ga, Element O]",3,True
mp-772187,AlGaO3,3.4263999999999992,"[Element Al, Element Ga, Element O]",3,True
mp-772898,AlGaO3,3.5313,"[Element Al, Element Ga, Element O]",3,True
mp-754157,AlInO3,2.162,"[Element Al, Element In, Element O]",3,True
mp-504482,AlInS3,2.081299999999999,"[Element Al, Element In, Element S]",3,True
mp-862787,AlInSe3,1.6333000000000002,"[Element Al, Element In, Element Se]",3,True
mp-1246835,AlMoN3,1.4508,"[Element Al, Element Mo, Element N]",3,True
mp-1248370,AlMoO3,0.734799999999999,"[Element Al, Element Mo, Element O]",3,True
mp-1373731,AlMoO3,1.4177,"[Element Al, Element Mo, Element O]",3,True
mp-1178547,AlRhO3,1.7659,"[Element Al, Element O, Element Rh]",3,True
mp-1079481,AlSBr3,0.147899999999999,"[Element Al, Element Br, Element S]",3,True
mp-1183134,AlSbO3,1.1346,"[Element Al, Element O, Element Sb]",3,True
mp-1261047,AlSbO3,3.9107000000000003,"[Element Al, Element O, Element Sb]",3,True
mp-1374707,AlSbO3,1.2462,"[Element Al, Element O, Element Sb]",3,True
mp-5168,AlSiP3,0.288599999999999,"[Element Al, Element P, Element Si]",3,True
mp-31220,AlSiTe3,1.2504,"[Element Al, Element Si, Element Te]",3,True
mp-768539,AlTlO3,1.208199999999999,"[Element Al, Element O, Element Tl]",3,True
mp-1178549,AlVO3,1.569,"[Element Al, Element O, Element V]",3,True
mp-1248251,AlVO3,1.679199999999999,"[Element Al, Element O, Element V]",3,True
mp-765647,AlVO3,1.1677,"[Element Al, Element O, Element V]",3,True
mp-1246403,AlWN3,1.5971000000000002,"[Element Al, Element N, Element W]",3,True
mp-1046804,AlWO3,0.8598999999999991,"[Element Al, Element O, Element W]",3,True
mp-1251647,AlWO3,0.5902000000000001,"[Element Al, Element O, Element W]",3,True
mp-755240,AsAuO3,0.357699999999999,"[Element As, Element Au, Element O]",3,True
mp-27274,AsCF3,3.3193,"[Element As, Element C, Element F]",3,True
mp-29863,AsCl3O,2.5284,"[Element As, Element Cl, Element O]",3,True
mp-1246423,BMoN3,1.0201,"[Element B, Element Mo, Element N]",3,True
mp-1183211,BSbO3,1.4054,"[Element B, Element O, Element Sb]",3,True
mp-753806,BSbO3,3.762,"[Element B, Element O, Element Sb]",3,True
mp-755829,BSbO3,3.7211,"[Element B, Element O, Element Sb]",3,True
